CreationTime,AuthenticateCount,ActiveCount,DisconnectCount,CPUUtil,MemoryUsed,MemoryFree,TempMin,TempMax,TempAvg,InBandwidth,OutBandwidth,InTotalPPS,OutTotalPPS
2018-08-02 00:00:00,0.0,2103.0,0.0,20.0,724360000.0,61556000.0,22.0,52.0,41.666666666666664,93802026.68733732,93291249.45986429,109252.07022990679,108586.40890386864
2018-08-02 00:15:00,0.0,2032.0,1.0,21.0,724396000.0,61520000.0,22.0,52.0,41.5,95130876.24082007,94131218.61536045,109655.65234864737,108581.04310166088
2018-08-02 00:30:00,0.0,1969.0,0.0,20.0,724364000.0,61552000.0,22.0,52.0,41.666666666666664,86990238.40616882,86345493.38951781,100134.56751985136,99417.34308271356
2018-08-02 00:45:00,0.0,1917.0,1.0,18.0,723596000.0,62320000.0,22.0,52.0,41.333333333333336,76700202.81866695,76304679.25294492,87866.46849577708,87347.0742289661
2018-08-02 01:00:00,0.0,1883.0,0.0,20.0,723600000.0,62316000.0,22.0,52.0,41.5,67797129.0561929,67414984.98047543,77409.16584060689,76913.93606511384
2018-08-02 01:15:00,1.0,1835.0,0.0,20.0,723632000.0,62284000.0,22.0,51.0,41.333333333333336,59549580.08340395,59235629.88464837,68069.09529657793,67679.20344752014
2018-08-02 01:30:00,0.0,1800.0,0.0,19.0,723612000.0,62304000.0,22.0,52.0,41.666666666666664,50944642.36870166,50694569.420461126,59095.33078858255,58748.575493848584
2018-08-02 01:45:00,0.0,1780.0,0.0,17.0,723604000.0,62312000.0,22.0,52.0,41.666666666666664,44437191.70861022,44117727.753051296,52006.58181057344,51617.673114450685
2018-08-02 02:00:00,2.0,1761.0,0.0,18.0,728080000.0,57836000.0,26.0,52.0,42.166666666666664,38129617.61838814,37839695.34561665,45028.22451992132,44708.874503852836
2018-08-02 02:15:00,0.0,1737.0,0.0,15.0,723768000.0,62148000.0,26.0,52.0,42.333333333333336,32680429.381122585,32388327.491289888,39089.0042059878,38755.483732764216
2018-08-02 02:30:00,0.0,1719.0,0.0,19.0,723884000.0,62032000.0,22.0,52.0,41.5,28995313.75807852,28726255.857497107,34817.93929563657,34520.04249560812
2018-08-02 02:45:00,1.0,1703.0,2.0,18.0,724340000.0,61576000.0,22.0,52.0,41.333333333333336,26375282.84252095,26097067.117673352,32225.06931875799,31975.079579749305
2018-08-02 03:00:00,0.0,1689.0,0.0,21.0,724904000.0,61012000.0,22.0,52.0,41.666666666666664,23716571.568625536,23446862.3771995,28998.740454528575,28788.4004806383
2018-08-02 03:15:00,1.0,1650.0,2.0,21.0,725580000.0,60332000.0,22.0,52.0,41.5,20902749.866561897,20549101.84340352,25775.66347550837,25532.341270999073
2018-08-02 03:30:00,0.0,1636.0,0.0,20.0,725760000.0,60156000.0,22.0,52.0,41.666666666666664,18437248.46531168,18168814.48528927,23120.015871133044,22874.224428038528
2018-08-02 03:45:00,0.0,1636.0,0.0,18.0,726276000.0,59640000.0,26.0,52.0,42.333333333333336,16527043.285274174,16197974.281311203,20895.291909023148,20606.794957290975
2018-08-02 04:00:00,0.0,1628.0,0.0,21.0,726880000.0,59036000.0,22.0,52.0,41.666666666666664,15329126.517333543,15053797.320240187,19528.553209182723,19251.147784272096
2018-08-02 07:00:00,0.0,1741.0,0.0,20.0,729292000.0,56624000.0,26.0,51.0,42.166666666666664,25268931.392170973,24978062.803211875,33688.454358928386,33399.842608082545
2018-08-02 08:45:00,0.0,2058.0,0.0,24.0,729312000.0,56604000.0,26.0,52.0,42.333333333333336,44722754.056993045,44273292.780854866,54842.398924638386,54384.78779590674
2018-08-02 09:00:00,2.0,2162.0,0.0,26.0,729288000.0,56628000.0,22.0,52.0,41.666666666666664,51071116.69538729,50515175.39876019,61606.94388605351,61043.11442761768
2018-08-02 09:15:00,1.0,2239.0,1.0,29.0,729356000.0,56560000.0,26.0,52.0,42.333333333333336,57231805.19289834,55983246.17792474,68619.41599551614,67862.11564396278
2018-08-02 09:30:00,2.0,2326.0,0.0,29.0,729316000.0,56600000.0,22.0,52.0,41.666666666666664,67732486.93811329,67178212.22653699,80687.71136961124,80060.48298214712
2018-08-02 09:45:00,0.0,2446.0,0.0,28.0,729240000.0,56676000.0,22.0,52.0,41.666666666666664,73400838.79939002,73017635.36052346,87421.01232580037,86917.85026442428
2018-08-02 10:00:00,0.0,2586.0,1.0,29.0,729212000.0,56704000.0,22.0,52.0,41.666666666666664,77330117.32916391,76854174.30802208,92027.03951495094,91356.59545045921
2018-08-02 10:15:00,0.0,2738.0,0.0,34.0,728972000.0,56944000.0,22.0,52.0,41.666666666666664,85927472.40514874,85824390.07764643,103110.7084704812,102378.0319626668
2018-08-02 10:30:00,3.0,2902.0,0.0,37.0,733288000.0,52628000.0,22.0,52.0,41.666666666666664,98009794.20098549,96762076.88428731,116698.43626602742,115767.74139727937
